Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.114,,,2021-03-31 14:23:52,2021-03-31 14:30:36,6m - 44.850s,ERROR
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.114,,,2021-03-31 14:23:52,2021-03-31 14:24:55,1m - 2.245s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.114,,,2021-03-31 14:23:52,2021-03-31 14:23:52,0.001s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.114,,,2021-03-31 14:23:53,2021-03-31 14:23:56,3.178s,PASSED
maximizeWindow(),Chrome 89.0.4389.114,,,2021-03-31 14:23:56,2021-03-31 14:23:56,0.126s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.114,,,2021-03-31 14:23:56,2021-03-31 14:23:58,2.616s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.114,,,2021-03-31 14:23:58,2021-03-31 14:24:00,1.843s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.114,,,2021-03-31 14:24:00,2021-03-31 14:24:02,1.770s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.114,,,2021-03-31 14:24:02,2021-03-31 14:24:06,3.665s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.114,,,2021-03-31 14:24:06,2021-03-31 14:24:06,0.251s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.114,,,2021-03-31 14:24:06,2021-03-31 14:24:06,0.293s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.114,,,2021-03-31 14:24:06,2021-03-31 14:24:08,1.408s,PASSED
"commonActions.VideoPlayer.nextVideoByClicking(findTestObject(""VideoDetailPageUI/video_frame""))",Chrome 89.0.4389.114,,,2021-03-31 14:24:08,2021-03-31 14:24:54,46.247s,PASSED
closeBrowser(),Chrome 89.0.4389.114,,,2021-03-31 14:24:54,2021-03-31 14:24:55,0.663s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.114,,,2021-03-31 14:24:55,2021-03-31 14:24:55,0.005s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyVideoCanPlay,Chrome 89.0.4389.114,,,2021-03-31 14:24:55,2021-03-31 14:25:47,52.784s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.114,,,2021-03-31 14:24:55,2021-03-31 14:24:55,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.114,,,2021-03-31 14:24:55,2021-03-31 14:24:59,4.375s,PASSED
maximizeWindow(),Chrome 89.0.4389.114,,,2021-03-31 14:24:59,2021-03-31 14:24:59,0.116s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.114,,,2021-03-31 14:24:59,2021-03-31 14:25:02,2.449s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.114,,,2021-03-31 14:25:02,2021-03-31 14:25:03,1.008s,PASSED
