Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-30 09:48:58,2021-03-30 09:53:38,4m - 40.812s,ERROR
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-30 09:48:58,2021-03-30 09:49:15,17.010s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:48:58,2021-03-30 09:48:58,0.007s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:48:59,2021-03-30 09:49:04,5.274s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:49:04,2021-03-30 09:49:04,0.127s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-30 09:49:04,2021-03-30 09:49:06,1.992s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:49:06,2021-03-30 09:49:07,1.373s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:49:07,2021-03-30 09:49:09,1.723s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-30 09:49:09,2021-03-30 09:49:13,4.334s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-30 09:49:13,2021-03-30 09:49:14,0.284s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:49:14,2021-03-30 09:49:14,0.305s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:49:14,2021-03-30 09:49:15,1.399s,ERROR
