Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-31 11:11:55,2021-03-31 11:17:47,5m - 51.487s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-31 11:11:56,2021-03-31 11:12:57,1m - 1.194s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:11:56,2021-03-31 11:11:56,0.009s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:11:56,2021-03-31 11:11:59,3.166s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:11:59,2021-03-31 11:12:00,0.127s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 11:12:00,2021-03-31 11:12:02,2.081s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:12:02,2021-03-31 11:12:03,1.534s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:12:03,2021-03-31 11:12:04,0.784s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 11:12:04,2021-03-31 11:12:08,3.784s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-31 11:12:08,2021-03-31 11:12:08,0.246s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:12:08,2021-03-31 11:12:08,0.289s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:12:08,2021-03-31 11:12:09,1.177s,PASSED
"commonActions.VideoPlayer.nextVideoByClicking(findTestObject(""VideoDetailPageUI/video_frame""))",Chrome 89.0.4389.90,,,2021-03-31 11:12:09,2021-03-31 11:12:57,47.078s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 11:12:57,2021-03-31 11:12:57,0.710s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:12:57,2021-03-31 11:12:57,0.002s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyVideoCanPlay,Chrome 89.0.4389.90,,,2021-03-31 11:12:57,2021-03-31 11:13:58,1m - 0.480s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:12:57,2021-03-31 11:12:57,0.001s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:12:57,2021-03-31 11:13:00,2.464s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:13:00,2021-03-31 11:13:00,0.117s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 11:13:00,2021-03-31 11:13:02,2.372s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:13:02,2021-03-31 11:13:04,1.327s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:13:04,2021-03-31 11:13:05,1.027s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 11:13:05,2021-03-31 11:13:09,3.752s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:13:09,2021-03-31 11:13:09,0.281s,PASSED
"commonActions.BaseActions.ClickElementsByJS(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 3)",Chrome 89.0.4389.90,,,2021-03-31 11:13:09,2021-03-31 11:13:10,0.950s,PASSED
commonActions.VideoPlayer.verifyPlayer(25),Chrome 89.0.4389.90,,,2021-03-31 11:13:10,2021-03-31 11:13:57,47.347s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 11:13:57,2021-03-31 11:13:58,0.686s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:13:58,2021-03-31 11:13:58,0.001s,PASSED
,,,,,,,
Test Cases/UnlockComic/VerifyUnlockComic,Chrome 89.0.4389.90,,,2021-03-31 11:13:58,2021-03-31 11:14:43,45.012s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:13:58,2021-03-31 11:13:58,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:13:58,2021-03-31 11:14:01,2.653s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:14:01,2021-03-31 11:14:01,0.115s,PASSED
